mmitzrach,mida,mishkal
5,700,1.00000000e+00
5,2000,1.00000000e+03
10,700,1.00000000e+00
10,801,9.00000000e+01
10,802,1.20000000e+02
10,803,1.75000000e+02
10,2000,1.00000000e+03
14,700,1.00000000e+00
14,2000,1.00000000e+03
15,200,2.40000000e+02
15,300,1.00000000e+01
15,400,2.40000010e+00
15,700,1.00000000e+00
15,903,1.00000000e+03
15,904,1.50000000e+03
15,909,1.00000000e+03
15,910,2.00000000e+03
15,1100,1.00000000e+03
15,1103,2.00000000e+03
15,2000,1.00000000e+03
17,200,2.40000000e+02
17,300,1.00000000e+01
17,400,2.40000010e+00
17,700,1.00000000e+00
17,904,1.00000000e+03
17,2000,1.00000000e+03
19,200,2.40000000e+02
19,300,1.00000000e+01
19,400,2.40000010e+00
19,700,1.00000000e+00
19,903,1.00000000e+03
19,904,1.00000000e+03
19,2000,1.00000000e+03
20,200,2.40000000e+02
20,300,1.00000000e+01
20,400,2.40000010e+00
20,700,1.00000000e+00
20,903,1.00000000e+03
20,904,1.00000000e+03
20,2000,1.00000000e+03
25,200,2.40000000e+02
25,300,1.00000000e+01
25,400,2.40000010e+00
25,700,1.00000000e+00
25,903,1.00000000e+03
25,904,1.00000000e+03
25,1100,1.00000000e+03
25,1103,2.00000000e+03
25,2000,1.00000000e+03
29,200,2.40000000e+02
29,700,1.00000000e+00
29,904,1.00000000e+03
29,909,5.00000000e+02
29,2000,1.00000000e+03
31,200,2.40000000e+02
31,300,1.00000000e+01
31,400,2.40000010e+00
31,700,1.00000000e+00
31,904,1.00000000e+03
31,2000,1.00000000e+03
32,200,2.40000000e+02
32,700,1.00000000e+00
32,904,1.00000000e+03
32,2000,1.00000000e+03
33,200,2.40000000e+02
33,700,1.00000000e+00
33,904,1.00000000e+03
33,2000,1.00000000e+03
34,200,2.45000000e+02
34,700,1.00000000e+00
34,2000,1.00000000e+03
35,200,2.40000000e+02
35,700,1.00000000e+00
35,2000,1.00000000e+03
36,200,2.40000000e+02
36,700,1.00000000e+00
36,2000,1.00000000e+03
37,400,1.29999995e+00
37,700,1.00000000e+00
37,2000,1.00000000e+03
38,200,5.70000000e+01
38,700,1.00000000e+00
38,2000,1.00000000e+03
39,200,3.06000000e+02
39,700,1.00000000e+00
39,907,1.75000000e+02
39,2000,1.00000000e+03
40,300,2.00000000e+01
40,400,8.00000000e+00
40,600,2.00000000e+02
40,604,5.00000000e+02
40,700,1.00000000e+00
40,2000,1.00000000e+03
41,300,2.00000000e+01
41,400,8.00000000e+00
41,600,1.50000000e+02
41,603,2.00000000e+02
41,700,1.00000000e+00
41,2000,1.00000000e+03
43,200,2.40000000e+02
43,700,1.00000000e+00
43,904,1.00000000e+03
43,909,5.00000000e+02
43,2000,1.00000000e+03
45,300,2.00000000e+01
45,400,8.00000000e+00
45,604,5.00000000e+02
45,700,1.00000000e+00
45,2000,1.00000000e+03
46,300,2.00000000e+01
46,400,8.00000000e+00
46,600,2.00000000e+02
46,700,1.00000000e+00
46,2000,1.00000000e+03
48,300,2.00000000e+01
48,400,8.00000000e+00
48,600,2.00000000e+02
48,602,1.50000000e+02
48,700,1.00000000e+00
48,2000,1.00000000e+03
50,300,2.00000000e+01
50,400,8.00000000e+00
50,600,1.50000000e+02
50,700,1.00000000e+00
50,2000,1.00000000e+03
51,300,2.00000000e+01
51,400,8.00000000e+00
51,600,1.50000000e+02
51,700,1.00000000e+00
51,2000,1.00000000e+03
52,300,2.00000000e+01
52,400,8.00000000e+00
52,600,2.00000000e+02
52,602,1.50000000e+02
52,700,1.00000000e+00
52,2000,1.00000000e+03
54,300,2.00000000e+01
54,400,8.00000000e+00
54,600,1.50000000e+02
54,700,1.00000000e+00
54,2000,1.00000000e+03
55,300,2.00000000e+01
55,400,8.00000000e+00
55,600,1.50000000e+02
55,700,1.00000000e+00
55,2000,1.00000000e+03
56,300,2.00000000e+01
56,400,8.00000000e+00
56,600,2.00000000e+02
56,700,1.00000000e+00
56,2000,1.00000000e+03
57,300,2.00000000e+01
57,400,8.00000000e+00
57,700,1.00000000e+00
57,1100,2.50000000e+02
57,2000,1.00000000e+03
58,300,2.00000000e+01
58,400,8.00000000e+00
58,600,1.50000000e+02
58,604,5.00000000e+02
58,700,1.00000000e+00
58,2000,1.00000000e+03
61,700,1.00000000e+00
61,1100,1.00000000e+02
61,2000,1.00000000e+03
62,300,2.00000000e+01
62,400,8.00000000e+00
62,600,1.50000000e+02
62,700,1.00000000e+00
62,2000,1.00000000e+03
63,700,1.00000000e+00
63,1100,1.00000000e+02
63,2000,1.00000000e+03
67,300,2.00000000e+01
67,400,8.00000000e+00
67,600,1.50000000e+02
67,700,1.00000000e+00
67,2000,1.00000000e+03
